Tablereport_source_Cell1|Tablereport_source_Cell2|Tablereport_source_Cell3|Tablereport_source_Cell4|Tablereport_source_Cell5|Tablereport_source_Cell6|Tablereport_source_Cell7
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910310185754|Автомагазин «Гараж» (г. Ялта, ул. Блюхера, 29)|35,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102159910|АЗС (г. Старый Крым, ул. Чапаева, 50б)|58,50|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9105005901|АЗС «TET NAFT» (г. Джанкой, ул. Октябрьская, 241)|222,82|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9105005901|АЗС 4 (г. Ялта, пгт. Массандра, шоссе Туристов)|14,24|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300049008|Аптека (г. Ялта, пгт. Кореиз, ул. Владимира Маяковского, 12)|351,70|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300048830|Аптека (г. Ялта, ул. Рузвельта, 2/1)|118,20|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920253154440|Аптека (пгт. Гвардейский, ул. Карла Маркса, 64)|896,13|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910703850323|Аптека №3 (Сакский район, с. Фрунзе, ул. Гагарина, 1А)|142,84|53,37|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910800091897|Аптека (г. Алушта, пер. Ревкомовский, 4)|174,87|2,16|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910800091897|Аптека (г. Алушта, ул. Октябрьская, 4)|99,21|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910800091897|Аптека (г. Симферополь, ул. Г. Сталинграда, 3А)|433,38|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910800091897|Аптека (г. Симферополь, ул. М. Жукова, 21)|538,32|82,94|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9104009290|Аптека (Бахчисарайский р н, с. Вилино, Луговая, 27)|496,10|136,41|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102050141|Аптека (г. Бахчисарай, ул. Танкистов, 14/45, кв. 1)|63,72|102,38|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103063263|Аптека №1 (г. Ялта, пгт. Кореиз, ш. Севастопольское, 44)|304,60|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910913046510|Аптечный пункт «ЛЮКСФАРМ» (Симферопольский р н, с. Трудовое, с. Акрополис, ул. Дачная, 3)|131,11|171,42|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910900095729|Аптечный пункт №1 (г. Симферополь,  пгт. ГРЭС, ул. Яблочкова, 19Б)|542,76|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300052843|БОШ Сервис (г. Ялта, пгт. Виноградное, ул. Красина, 1 В)|63,50|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102156846|Ветеринарная клиника «АВВА» (г. Симферополь, ул. Ялтинская, 187)|731,31|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910913046510|Вишнёвая Аптека №1 (г. Алушта, ул. Ялтинская, 1 К)|361,98|458,43|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910200324268|Гастроном (г. Симферополь, ул. Арабатская, 3)|340,33|584,16|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920300112400|Гастроном (г. Севастополь, ул. Адмирала Фадеева, 1А)|132,53|190,27|0,00|
